Corrida con 
individuos : 40
cr : 0.9
f = 0.3
1: Viorest: 0.0019493, aptitud: 1000, vector: 0.480831    0.0517471     0.478882     0.359539     -43.6813
488: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
489: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
490: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
491: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
492: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
493: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
494: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
495: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
496: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
497: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
498: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
499: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
500: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
501: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
502: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
503: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
504: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
505: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
506: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
507: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
508: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
509: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
510: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
511: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
512: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
513: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
514: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
515: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
516: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
517: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
518: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
519: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
520: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
521: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
522: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
523: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
524: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
525: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
526: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
527: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
528: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
529: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
530: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
531: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
532: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
533: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
534: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
535: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
536: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
537: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
538: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
539: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
540: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
541: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
542: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
543: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
544: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
545: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
546: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
547: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
548: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
549: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
550: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
551: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
552: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
553: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
554: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
555: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
556: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
557: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
558: Viorest: 0, aptitud: 0.52367, vector: 0.49744    0.067511     0.49744     0.46706    -0.48372
559: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
560: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
561: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
562: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
563: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
564: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
565: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
566: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
567: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
568: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
569: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
570: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
571: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
572: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
573: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
574: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
575: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
576: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
577: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
578: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
579: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
580: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
581: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
582: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
583: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
584: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
585: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
586: Viorest: 0, aptitud: 0.47079, vector: 0.46627    0.075487     0.48626      0.3583    -0.32389
587: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
588: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
589: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
590: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
591: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
592: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
593: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
594: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
595: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
596: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
597: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
598: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
599: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
600: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
601: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
602: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
603: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
604: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
605: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
606: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
607: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
608: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
609: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
610: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
611: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
612: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
613: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
614: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
615: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
616: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
617: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
618: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
619: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
620: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
621: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
622: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
623: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
624: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
625: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
626: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
627: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
628: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
629: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
630: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
631: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
632: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
633: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
634: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
635: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
636: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
637: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
638: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
639: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
640: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
641: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
642: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
643: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
644: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
645: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
646: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
647: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
648: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
649: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
650: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
651: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
652: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
653: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
654: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
655: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
656: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
657: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
658: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
659: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
660: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
661: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
662: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
663: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
664: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
665: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
666: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
667: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
668: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
669: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
670: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
671: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
672: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
673: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
674: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
675: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
676: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
677: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
678: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
679: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
680: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
681: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
682: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
683: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
684: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
685: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
686: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
687: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
688: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
689: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
690: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
691: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
692: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
693: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
694: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
695: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
696: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
697: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
698: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
699: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
700: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
701: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
702: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
703: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
704: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
705: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
706: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
707: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
708: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
709: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
710: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
711: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
712: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
713: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
714: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
715: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
716: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
717: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
718: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
719: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
720: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
721: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
722: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
723: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
724: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
725: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
726: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
727: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
728: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
729: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
730: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
731: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
732: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
733: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
734: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
735: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
736: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
737: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
738: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
739: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
740: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
741: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
742: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
743: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
744: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
745: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
746: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
747: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
748: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
749: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
750: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
751: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
752: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
753: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
754: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
755: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
756: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
757: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
758: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
759: Viorest: 0, aptitud: 0.46066, vector: 0.46361    0.071299     0.48359     0.35487    -0.32699
